time,Ingress,Occupancy,tickets_sold,percentage,zone_central,zone_east,zone_west,zone_central_percentage,zone_east_percentage,zone_west_percentage
1723473000000,84,4271,6000,71%,1708,1068,1495,28.47%,17.80%,24.92%
1723473060000,85,4357,6000,73%,1743,1089,1525,29.05%,18.15%,25.42%
1723473120000,87,4444,6000,74%,1777,1111,1555,29.62%,18.52%,25.92%
1723473180000,89,4533,6000,76%,1813,1133,1586,30.22%,18.88%,26.43%
1723473240000,91,4623,6000,77%,1849,1156,1618,30.82%,19.27%,26.97%
1723473300000,92,4716,6000,79%,1886,1179,1650,31.43%,19.65%,27.50%
1723473360000,94,4810,6000,80%,1924,1203,1684,32.07%,20.05%,28.07%
1723473420000,96,4906,6000,82%,1962,1227,1717,32.70%,20.45%,28.62%
1723473480000,98,5004,6000,83%,2002,1251,1752,33.37%,20.85%,29.20%
1723473540000,100,5104,6000,85%,2042,1276,1787,34.03%,21.27%,29.78%
1723473600000,102,5207,6000,87%,2083,1302,1822,34.72%,21.70%,30.37%
1723473660000,104,5311,6000,89%,2124,1328,1859,35.40%,22.13%,30.98%
1723473720000,106,5417,6000,90%,2167,1354,1896,36.12%,22.57%,31.60%
1723473780000,108,5525,6000,92%,2210,1381,1934,36.83%,23.02%,32.23%
1723473840000,111,5636,6000,94%,2254,1409,1972,37.57%,23.48%,32.87%
1723473900000,113,5748,6000,96%,2299,1437,2012,38.32%,23.95%,33.53%
1723473960000,115,5863,6000,98%,2345,1466,2052,39.08%,24.43%,34.20%
1723474020000,117,5981,6000,100%,2392,1495,2093,39.87%,24.92%,34.88%
1723474080000,18,5999,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723474140000,0,5999,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723474200000,0,5999,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723474260000,-50,5949,6000,99%,2380,1487,2082,39.67%,24.78%,34.70%
1723474320000,-15,5934,6000,99%,2374,1484,2077,39.57%,24.73%,34.62%
1723474380000,3,5937,6000,99%,2375,1484,2078,39.58%,24.73%,34.63%
1723474440000,44,5981,6000,100%,2392,1495,2093,39.87%,24.92%,34.88%
1723474500000,18,5999,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723474560000,-12,5987,6000,100%,2395,1497,2095,39.92%,24.95%,34.92%
1723474620000,-85,5902,6000,98%,2361,1476,2066,39.35%,24.60%,34.43%
1723474680000,93,5995,6000,100%,2398,1499,2098,39.97%,24.98%,34.97%
1723474740000,-46,5949,6000,99%,2380,1487,2082,39.67%,24.78%,34.70%
1723474800000,-41,5908,6000,98%,2363,1477,2068,39.38%,24.62%,34.47%
1723474860000,22,5930,6000,99%,2372,1483,2076,39.53%,24.72%,34.60%
1723474920000,48,5978,6000,100%,2391,1495,2092,39.85%,24.92%,34.87%
1723474980000,-48,5930,6000,99%,2372,1483,2076,39.53%,24.72%,34.60%
1723475040000,-27,5903,6000,98%,2361,1476,2066,39.35%,24.60%,34.43%
1723475100000,66,5969,6000,99%,2388,1492,2089,39.80%,24.87%,34.82%
1723475160000,30,5999,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723475220000,-96,5903,6000,98%,2361,1476,2066,39.35%,24.60%,34.43%
1723475280000,87,5990,6000,100%,2396,1498,2097,39.93%,24.97%,34.95%
1723475340000,-89,5901,6000,98%,2360,1475,2065,39.33%,24.58%,34.42%
1723475400000,99,6000,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723475460000,-21,5979,6000,100%,2392,1495,2093,39.87%,24.92%,34.88%
1723475520000,-37,5942,6000,99%,2377,1486,2080,39.62%,24.77%,34.67%
1723475580000,45,5987,6000,100%,2395,1497,2095,39.92%,24.95%,34.92%
1723475640000,-16,5971,6000,100%,2388,1493,2090,39.80%,24.88%,34.83%
1723475700000,-17,5954,6000,99%,2382,1489,2084,39.70%,24.82%,34.73%
1723475760000,-53,5901,6000,98%,2360,1475,2065,39.33%,24.58%,34.42%
1723475820000,74,5975,6000,100%,2390,1494,2091,39.83%,24.90%,34.85%
1723475880000,14,5989,6000,100%,2396,1497,2096,39.93%,24.95%,34.93%
1723475940000,-10,5979,6000,100%,2392,1495,2093,39.87%,24.92%,34.88%
1723476000000,-69,5910,6000,99%,2364,1478,2069,39.40%,24.63%,34.48%
1723476060000,69,5979,6000,100%,2392,1495,2093,39.87%,24.92%,34.88%
1723476120000,-43,5936,6000,99%,2374,1484,2078,39.57%,24.73%,34.63%
1723476180000,74,6010,6000,100%,2404,1503,2104,40.07%,25.05%,35.07%
1723476240000,5,6015,6000,100%,2406,1504,2105,40.10%,25.07%,35.08%
1723476300000,8,6023,6000,100%,2409,1506,2108,40.15%,25.10%,35.13%
1723476360000,-76,5947,6000,99%,2379,1487,2081,39.65%,24.78%,34.68%
1723476420000,22,5969,6000,99%,2388,1492,2089,39.80%,24.87%,34.82%
1723476480000,-3,5966,6000,99%,2386,1492,2088,39.77%,24.87%,34.80%
1723476540000,-33,5933,6000,99%,2373,1483,2077,39.55%,24.72%,34.62%
1723476600000,-10,5923,6000,99%,2369,1481,2073,39.48%,24.68%,34.55%
1723476660000,87,6010,6000,100%,2404,1503,2104,40.07%,25.05%,35.07%
1723476720000,50,6060,6000,101%,2424,1515,2121,40.40%,25.25%,35.35%
1723476780000,5,6065,6000,101%,2426,1516,2123,40.43%,25.27%,35.38%
1723476840000,-142,5923,6000,99%,2369,1481,2073,39.48%,24.68%,34.55%
1723476900000,-12,5911,6000,99%,2364,1478,2069,39.40%,24.63%,34.48%
1723476960000,38,5949,6000,99%,2380,1487,2082,39.67%,24.78%,34.70%
1723477020000,16,5965,6000,99%,2386,1491,2088,39.77%,24.85%,34.80%
1723477080000,9,5974,6000,100%,2390,1494,2091,39.83%,24.90%,34.85%
1723477140000,-69,5905,6000,98%,2362,1476,2067,39.37%,24.60%,34.45%
1723477200000,60,5965,6000,99%,2386,1491,2088,39.77%,24.85%,34.80%
1723477260000,13,5978,6000,100%,2391,1495,2092,39.85%,24.92%,34.87%
1723477320000,-79,5899,6000,98%,2360,1475,2065,39.33%,24.58%,34.42%
1723477380000,8,5907,6000,98%,2363,1477,2067,39.38%,24.62%,34.45%
1723477440000,30,5937,6000,99%,2375,1484,2078,39.58%,24.73%,34.63%
1723477500000,-7,5930,6000,99%,2372,1483,2076,39.53%,24.72%,34.60%
1723477560000,51,5981,6000,100%,2392,1495,2093,39.87%,24.92%,34.88%
1723477620000,13,5994,6000,100%,2398,1499,2098,39.97%,24.98%,34.97%
1723477680000,-77,5917,6000,99%,2367,1479,2071,39.45%,24.65%,34.52%
1723477740000,-14,5903,6000,98%,2361,1476,2066,39.35%,24.60%,34.43%
1723477800000,19,5922,6000,99%,2369,1481,2073,39.48%,24.68%,34.55%
1723477860000,27,5949,6000,99%,2380,1487,2082,39.67%,24.78%,34.70%
1723477920000,-12,5937,6000,99%,2375,1484,2078,39.58%,24.73%,34.63%
1723477980000,50,5987,6000,100%,2395,1497,2095,39.92%,24.95%,34.92%
1723478040000,-19,5968,6000,99%,2387,1492,2089,39.78%,24.87%,34.82%
1723478100000,-55,5913,6000,99%,2365,1478,2070,39.42%,24.63%,34.50%
1723478160000,87,6000,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723478220000,-81,5919,6000,99%,2368,1480,2072,39.47%,24.67%,34.53%
1723478280000,-7,5912,6000,99%,2365,1478,2069,39.42%,24.63%,34.48%
1723478340000,7,5919,6000,99%,2368,1480,2072,39.47%,24.67%,34.53%
1723478400000,-400,5519,6000,92%,2208,1380,1932,36.80%,23.00%,32.20%
1723478460000,-300,5219,6000,87%,2088,1305,1827,34.80%,21.75%,30.45%
1723478520000,-300,4919,6000,82%,1968,1230,1722,32.80%,20.50%,28.70%
1723478580000,-300,4619,6000,77%,1848,1155,1617,30.80%,19.25%,26.95%
1723478640000,-300,4319,6000,72%,1728,1080,1512,28.80%,18.00%,25.20%
1723478700000,-300,4019,6000,67%,1608,1005,1407,26.80%,16.75%,23.45%
1723478760000,-300,3719,6000,62%,1488,930,1302,24.80%,15.50%,21.70%
1723478820000,-300,3419,6000,57%,1368,855,1197,22.80%,14.25%,19.95%
1723478880000,-300,3119,6000,52%,1248,780,1092,20.80%,13.00%,18.20%
1723478940000,-300,2819,6000,47%,1128,705,987,18.80%,11.75%,16.45%
1723479000000,-300,2519,6000,42%,1008,630,882,16.80%,10.50%,14.70%
1723479060000,-300,2219,6000,37%,888,555,777,14.80%,9.25%,12.95%
1723479120000,111,2330,6000,39%,932,582,815,15.53%,9.70%,13.58%
1723479180000,116,2446,6000,41%,979,612,856,16.32%,10.20%,14.27%
1723479240000,122,2569,6000,43%,1028,642,899,17.13%,10.70%,14.98%
1723479300000,128,2697,6000,45%,1079,674,944,17.98%,11.23%,15.73%
1723479360000,135,2832,6000,47%,1133,708,991,18.88%,11.80%,16.52%
1723479420000,142,2974,6000,50%,1189,743,1041,19.82%,12.38%,17.35%
1723479480000,149,3122,6000,52%,1249,781,1093,20.82%,13.02%,18.22%
1723479540000,156,3278,6000,55%,1311,820,1147,21.85%,13.67%,19.12%
1723479600000,164,3442,6000,57%,1377,861,1205,22.95%,14.35%,20.08%
1723479660000,172,3615,6000,60%,1446,904,1265,24.10%,15.07%,21.08%
1723479720000,181,3795,6000,63%,1518,949,1328,25.30%,15.82%,22.13%
1723479780000,190,3985,6000,66%,1594,996,1395,26.57%,16.60%,23.25%
1723479840000,199,4184,6000,70%,1674,1046,1464,27.90%,17.43%,24.40%
1723479900000,209,4393,6000,73%,1757,1098,1538,29.28%,18.30%,25.63%
1723479960000,220,4613,6000,77%,1845,1153,1615,30.75%,19.22%,26.92%
1723480020000,231,4844,6000,81%,1938,1211,1695,32.30%,20.18%,28.25%
1723480080000,242,5086,6000,85%,2034,1271,1780,33.90%,21.18%,29.67%
1723480140000,254,5340,6000,89%,2136,1335,1869,35.60%,22.25%,31.15%
1723480200000,267,5607,6000,93%,2243,1402,1963,37.38%,23.37%,32.72%
1723480260000,280,5888,6000,98%,2355,1472,2061,39.25%,24.53%,34.35%
1723480320000,5,5893,6000,98%,2357,1473,2063,39.28%,24.55%,34.38%
1723480380000,45,5938,6000,99%,2375,1485,2078,39.58%,24.75%,34.63%
1723480440000,-7,5931,6000,99%,2372,1483,2076,39.53%,24.72%,34.60%
1723480500000,45,5976,6000,100%,2390,1494,2092,39.83%,24.90%,34.87%
1723480560000,-63,5913,6000,99%,2365,1478,2070,39.42%,24.63%,34.50%
1723480620000,50,5963,6000,99%,2385,1491,2087,39.75%,24.85%,34.78%
1723480680000,30,5993,6000,100%,2397,1498,2098,39.95%,24.97%,34.97%
1723480740000,-26,5967,6000,99%,2387,1492,2088,39.78%,24.87%,34.80%
1723480800000,-15,5952,6000,99%,2381,1488,2083,39.68%,24.80%,34.72%
1723480860000,-35,5917,6000,99%,2367,1479,2071,39.45%,24.65%,34.52%
1723480920000,71,5988,6000,100%,2395,1497,2096,39.92%,24.95%,34.93%
1723480980000,22,6010,6000,100%,2404,1503,2104,40.07%,25.05%,35.07%
1723481040000,-40,5970,6000,100%,2388,1493,2090,39.80%,24.88%,34.83%
1723481100000,30,6000,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723481160000,10,6010,6000,100%,2404,1503,2104,40.07%,25.05%,35.07%
1723481220000,5,6015,6000,100%,2406,1504,2105,40.10%,25.07%,35.08%
1723481280000,3,6018,6000,100%,2407,1505,2106,40.12%,25.08%,35.10%
1723481340000,1,6019,6000,100%,2408,1505,2107,40.13%,25.08%,35.12%
1723481400000,-103,5916,6000,99%,2366,1479,2071,39.43%,24.65%,34.52%
1723481460000,39,5955,6000,99%,2382,1489,2084,39.70%,24.82%,34.73%
1723481520000,-4,5951,6000,99%,2380,1488,2083,39.67%,24.80%,34.72%
1723481580000,26,5977,6000,100%,2391,1494,2092,39.85%,24.90%,34.87%
1723481640000,-85,5892,6000,98%,2357,1473,2062,39.28%,24.55%,34.37%
1723481700000,59,5951,6000,99%,2380,1488,2083,39.67%,24.80%,34.72%
1723481760000,34,5985,6000,100%,2394,1496,2095,39.90%,24.93%,34.92%
1723481820000,-61,5924,6000,99%,2370,1481,2073,39.50%,24.68%,34.55%
1723481880000,-31,5893,6000,98%,2357,1473,2063,39.28%,24.55%,34.38%
1723481940000,84,5977,6000,100%,2391,1494,2092,39.85%,24.90%,34.87%
1723482000000,-13,5964,6000,99%,2386,1491,2087,39.77%,24.85%,34.78%
1723482060000,-5,5959,6000,99%,2384,1490,2086,39.73%,24.83%,34.77%
1723482120000,-8,5951,6000,99%,2380,1488,2083,39.67%,24.80%,34.72%
1723482180000,44,5995,6000,100%,2398,1499,2098,39.97%,24.98%,34.97%
1723482240000,-35,5960,6000,99%,2384,1490,2086,39.73%,24.83%,34.77%
1723482300000,-11,5949,6000,99%,2380,1487,2082,39.67%,24.78%,34.70%
1723482360000,34,5983,6000,100%,2393,1496,2094,39.88%,24.93%,34.90%
1723482420000,-4,5979,6000,100%,2392,1495,2093,39.87%,24.92%,34.88%
1723482480000,-28,5951,6000,99%,2380,1488,2083,39.67%,24.80%,34.72%
1723482540000,-6,5945,6000,99%,2378,1486,2081,39.63%,24.77%,34.68%
1723482600000,-42,5903,6000,98%,2361,1476,2066,39.35%,24.60%,34.43%
1723482660000,85,5988,6000,100%,2395,1497,2096,39.92%,24.95%,34.93%
1723482720000,-74,5914,6000,99%,2366,1479,2070,39.43%,24.65%,34.50%
1723482780000,21,5935,6000,99%,2374,1484,2077,39.57%,24.73%,34.62%
1723482840000,-12,5923,6000,99%,2369,1481,2073,39.48%,24.68%,34.55%
1723482900000,28,5951,6000,99%,2380,1488,2083,39.67%,24.80%,34.72%
1723482960000,26,5977,6000,100%,2391,1494,2092,39.85%,24.90%,34.87%
1723483020000,-65,5912,6000,99%,2365,1478,2069,39.42%,24.63%,34.48%
1723483080000,83,5995,6000,100%,2398,1499,2098,39.97%,24.98%,34.97%
1723483140000,-2,5993,6000,100%,2397,1498,2098,39.95%,24.97%,34.97%
1723483200000,-68,5925,6000,99%,2370,1481,2074,39.50%,24.68%,34.57%
1723483260000,-3,5922,6000,99%,2369,1481,2073,39.48%,24.68%,34.55%
1723483320000,63,5985,6000,100%,2394,1496,2095,39.90%,24.93%,34.92%
1723483380000,-15,5970,6000,100%,2388,1493,2090,39.80%,24.88%,34.83%
1723483440000,-15,5955,6000,99%,2382,1489,2084,39.70%,24.82%,34.73%
1723483500000,30,5985,6000,100%,2394,1496,2095,39.90%,24.93%,34.92%
1723483560000,-48,5937,6000,99%,2375,1484,2078,39.58%,24.73%,34.63%
1723483620000,-41,5896,6000,98%,2358,1474,2064,39.30%,24.57%,34.40%
1723483680000,48,5944,6000,99%,2378,1486,2080,39.63%,24.77%,34.67%
1723483740000,-25,5919,6000,99%,2368,1480,2072,39.47%,24.67%,34.53%
1723483800000,46,5965,6000,99%,2386,1491,2088,39.77%,24.85%,34.80%
1723483860000,10,5975,6000,100%,2390,1494,2091,39.83%,24.90%,34.85%
1723483920000,-41,5934,6000,99%,2374,1484,2077,39.57%,24.73%,34.62%
1723483980000,7,5941,6000,99%,2376,1485,2079,39.60%,24.75%,34.65%
1723484040000,-27,5914,6000,99%,2366,1479,2070,39.43%,24.65%,34.50%
1723484100000,87,6001,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723484160000,-14,5987,6000,100%,2395,1497,2095,39.92%,24.95%,34.92%
1723484220000,14,6001,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723484280000,-34,5967,6000,99%,2387,1492,2088,39.78%,24.87%,34.80%
1723484340000,-50,5917,6000,99%,2367,1479,2071,39.45%,24.65%,34.52%
1723484400000,84,6001,6000,100%,2400,1500,2100,40.00%,25.00%,35.00%
1723484460000,-42,5959,6000,99%,2384,1490,2086,39.73%,24.83%,34.77%
1723484520000,34,5993,6000,100%,2397,1498,2098,39.95%,24.97%,34.97%
1723484580000,-54,5939,6000,99%,2376,1485,2079,39.60%,24.75%,34.65%
1723484640000,-21,5918,6000,99%,2367,1480,2071,39.45%,24.67%,34.52%
1723484700000,31,5949,6000,99%,2380,1487,2082,39.67%,24.78%,34.70%
1723484760000,-15,5934,6000,99%,2374,1484,2077,39.57%,24.73%,34.62%
1723484820000,50,5984,6000,100%,2394,1496,2094,39.90%,24.93%,34.90%
1723484880000,-72,5912,6000,99%,2365,1478,2069,39.42%,24.63%,34.48%
1723484940000,5,5917,6000,99%,2367,1479,2071,39.45%,24.65%,34.52%
1723485000000,-296,5621,6000,94%,2248,1405,1967,37.47%,23.42%,32.78%
1723485060000,-281,5340,6000,89%,2136,1335,1869,35.60%,22.25%,31.15%
1723485120000,-267,5073,6000,85%,2029,1268,1776,33.82%,21.13%,29.60%
1723485180000,-254,4819,6000,80%,1928,1205,1687,32.13%,20.08%,28.12%
1723485240000,-241,4578,6000,76%,1831,1145,1602,30.52%,19.08%,26.70%
1723485300000,-229,4350,6000,72%,1740,1087,1522,29.00%,18.12%,25.37%
1723485360000,-217,4132,6000,69%,1653,1033,1446,27.55%,17.22%,24.10%
1723485420000,-207,3925,6000,65%,1570,981,1374,26.17%,16.35%,22.90%
1723485480000,-196,3729,6000,62%,1492,932,1305,24.87%,15.53%,21.75%
1723485540000,-186,3543,6000,59%,1417,886,1240,23.62%,14.77%,20.67%
1723485600000,-177,3366,6000,56%,1346,841,1178,22.43%,14.02%,19.63%
1723485660000,-168,3197,6000,53%,1279,799,1119,21.32%,13.32%,18.65%
1723485720000,-160,3037,6000,51%,1215,759,1063,20.25%,12.65%,17.72%
1723485780000,-152,2886,6000,48%,1154,721,1010,19.23%,12.02%,16.83%
1723485840000,-144,2741,6000,46%,1097,685,959,18.28%,11.42%,15.98%
1723485900000,-137,2604,6000,43%,1042,651,911,17.37%,10.85%,15.18%
1723485960000,-130,2474,6000,41%,990,619,866,16.50%,10.32%,14.43%
1723486020000,-124,2350,6000,39%,940,588,823,15.67%,9.80%,13.72%
1723486080000,-118,2233,6000,37%,893,558,781,14.88%,9.30%,13.02%
1723486140000,-112,2121,6000,35%,848,530,742,14.13%,8.83%,12.37%
1723486200000,-106,2015,6000,34%,806,504,705,13.43%,8.40%,11.75%
1723486260000,-101,1914,6000,32%,766,479,670,12.77%,7.98%,11.17%
1723486320000,-96,1819,6000,30%,727,455,637,12.12%,7.58%,10.62%
1723486380000,-91,1728,6000,29%,691,432,605,11.52%,7.20%,10.08%
1723486440000,-86,1641,6000,27%,657,410,574,10.95%,6.83%,9.57%
1723486500000,-82,1559,6000,26%,624,390,546,10.40%,6.50%,9.10%
1723486560000,-78,1481,6000,25%,593,370,518,9.88%,6.17%,8.63%
1723486620000,-74,1407,6000,23%,563,352,493,9.38%,5.87%,8.22%
1723486680000,-70,1337,6000,22%,535,334,468,8.92%,5.57%,7.80%
1723486740000,-67,1270,6000,21%,508,318,445,8.47%,5.30%,7.42%
1723486800000,-64,1207,6000,20%,483,302,422,8.05%,5.03%,7.03%
1723486860000,-60,1146,6000,19%,458,287,401,7.63%,4.78%,6.68%
1723486920000,-57,1089,6000,18%,436,272,381,7.27%,4.53%,6.35%
1723486980000,-54,1034,6000,17%,414,259,362,6.90%,4.32%,6.03%
1723487040000,-52,983,6000,16%,393,246,344,6.55%,4.10%,5.73%
1723487100000,-49,934,6000,16%,373,233,327,6.22%,3.88%,5.45%
1723487160000,-47,887,6000,15%,355,222,310,5.92%,3.70%,5.17%
1723487220000,-44,843,6000,14%,337,211,295,5.62%,3.52%,4.92%
1723487280000,-42,800,6000,13%,320,200,280,5.33%,3.33%,4.67%
1723487340000,-40,760,6000,13%,304,190,266,5.07%,3.17%,4.43%
1723487400000,-38,722,6000,12%,289,181,253,4.82%,3.02%,4.22%
1723487460000,-36,686,6000,11%,275,172,240,4.58%,2.87%,4.00%
1723487520000,-34,652,6000,11%,261,163,228,4.35%,2.72%,3.80%
1723487580000,-33,619,6000,10%,248,155,217,4.13%,2.58%,3.62%
1723487640000,-31,588,6000,10%,235,147,206,3.92%,2.45%,3.43%
1723487700000,-29,559,6000,9%,224,140,196,3.73%,2.33%,3.27%
1723487760000,-28,531,6000,9%,212,133,186,3.53%,2.22%,3.10%
1723487820000,-27,504,6000,8%,202,126,177,3.37%,2.10%,2.95%
1723487880000,-50,454,6000,8%,182,114,159,3.03%,1.90%,2.65%
1723487940000,-23,431,6000,7%,173,108,151,2.88%,1.80%,2.52%
1723488000000,-22,410,6000,7%,164,102,143,2.73%,1.70%,2.38%
1723488060000,-20,389,6000,6%,156,97,136,2.60%,1.62%,2.27%
1723488120000,-19,370,6000,6%,148,92,129,2.47%,1.53%,2.15%
1723488180000,-18,351,6000,6%,141,88,123,2.35%,1.47%,2.05%
1723488240000,-35,316,6000,5%,126,79,111,2.10%,1.32%,1.85%
1723488300000,-32,285,6000,5%,114,71,100,1.90%,1.18%,1.67%
1723488360000,-28,256,6000,4%,102,64,90,1.70%,1.07%,1.50%
1723488420000,-26,230,6000,4%,92,58,81,1.53%,0.97%,1.35%
1723488480000,-23,207,6000,3%,83,52,73,1.38%,0.87%,1.22%
1723488540000,-21,187,6000,3%,75,47,65,1.25%,0.78%,1.08%
1723488600000,-19,168,6000,3%,67,42,59,1.12%,0.70%,0.98%
1723488660000,-17,151,6000,3%,60,38,53,1.00%,0.63%,0.88%
1723488720000,-15,136,6000,2%,54,34,48,0.90%,0.57%,0.80%
1723488780000,-14,122,6000,2%,49,31,43,0.82%,0.52%,0.72%
1723488840000,-12,110,6000,2%,44,28,39,0.73%,0.47%,0.65%
1723488900000,-11,99,6000,2%,40,25,35,0.67%,0.42%,0.58%
1723488960000,-10,89,6000,1%,36,22,31,0.60%,0.37%,0.52%
1723489020000,-9,80,6000,1%,32,20,28,0.53%,0.33%,0.47%
1723489080000,-8,72,6000,1%,29,18,25,0.48%,0.30%,0.42%
1723489140000,-7,65,6000,1%,26,16,23,0.43%,0.27%,0.38%
1723489200000,-65,0,6000,0%,0,0,0,0.00%,0.00%,0.00%
